CampaignID,Date,Channel,CampaignName,EmailsSent,EmailOpens,Clicks,Conversions,SpendUSD,RevenueUSD
C001,1/5/2024,Email,Jan_Email_Promo,12000,3120,780,156,800,3120
C002,1/12/2024,Paid Social,Jan_Social_Boost,0,0,1200,96,3200,4800
C003,1/18/2024,SEO,Jan_SEO_Organic,0,0,3400,204,1200,6120
C004,1/25/2024,PPC,Jan_PPC_Search,0,0,2100,168,5000,8400
C005,2/3/2024,Email,Feb_Email_Newsletter,13500,3645,910,182,850,3640
C006,2/9/2024,Paid Social,Feb_Social_Retarget,0,0,1540,123,3800,6150
C007,2/14/2024,SEO,Feb_SEO_Organic,0,0,3750,225,1200,6750
C008,2/21/2024,PPC,Feb_PPC_Search,0,0,2400,192,5500,9600
C009,3/6/2024,Email,Mar_Email_Offer,14200,4118,1130,226,900,4520
C010,3/13/2024,Paid Social,Mar_Social_Campaign,0,0,1800,162,4200,8100
C011,3/20/2024,SEO,Mar_SEO_Organic,0,0,4100,246,1200,7380
C012,3/27/2024,PPC,Mar_PPC_Brand,0,0,2800,224,6000,11200
C013,4/4/2024,Email,Apr_Email_Digest,13800,3726,932,186,870,3720
C014,4/11/2024,Paid Social,Apr_Social_Awareness,0,0,1650,148,4000,7400
C015,4/17/2024,SEO,Apr_SEO_Organic,0,0,4300,258,1200,7740
C016,4/24/2024,PPC,Apr_PPC_Search,0,0,2600,208,5800,10400
C017,5/2/2024,Email,May_Email_Flash,15000,4650,1395,279,950,5580
C018,5/9/2024,Paid Social,May_Social_Boost,0,0,2100,189,4500,9450
C019,5/16/2024,SEO,May_SEO_Organic,0,0,4700,282,1200,8460
C020,5/23/2024,PPC,May_PPC_Search,0,0,3100,248,6500,12400
C021,6/6/2024,Email,Jun_Email_Summer,14500,4495,1349,270,920,5400
C022,6/12/2024,Paid Social,Jun_Social_Campaign,0,0,1980,178,4300,8900
C023,6/19/2024,SEO,Jun_SEO_Organic,0,0,5100,306,1200,9180
C024,6/26/2024,PPC,Jun_PPC_Brand,0,0,2900,232,6200,11600
